OTU ID	fsample1	fsample10	fsample11	fsample12	fsample2	fsample3	fsample4	fsample5	fsample6	fsample7	fsample8	fsample9
k__Fungi;p__Blastocladiomycota	0.0	191.0	0.0	0.0	14.0	15.0	0.0	17.0	7.0	3.0	14.0	401.0
k__Fungi;p__Ascomycota	77081.0	85835.0	82234.0	82008.0	89275.0	99351.0	61233.0	83613.0	92188.0	87663.0	77094.0	50761.0
k__Fungi;__	49427.0	18616.0	43113.0	68384.0	36797.0	29253.0	14933.0	29698.0	19508.0	36786.0	41260.0	40030.0
k__Fungi;p__Fungi_phy_Incertae_sedis	26726.0	47849.0	34421.0	7188.0	12937.0	20135.0	9271.0	40367.0	39055.0	29092.0	35894.0	31338.0
k__Fungi;p__Rozellomycota	108.0	107.0	348.0	411.0	151.0	571.0	245.0	132.0	325.0	147.0	308.0	951.0
k__Fungi;p__Basidiomycota	3691.0	1343.0	1550.0	1715.0	2340.0	3299.0	1333.0	1418.0	1667.0	1527.0	735.0	363.0
k__Fungi;p__Glomeromycota	3.0	33.0	17.0	29.0	0.0	53.0	33.0	41.0	1645.0	31.0	29.0	17.0
k__Fungi;p__Chytridiomycota	275.0	559.0	174.0	262.0	63.0	114.0	51.0	218.0	520.0	583.0	596.0	315.0
k__Fungi;p__Zoopagomycota	39.0	130.0	22.0	5.0	2.0	8.0	0.0	7.0	50.0	13.0	14.0	43.0
k__Fungi;p__Sanchytriomycota	0.0	13.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	14.0	2.0
k__Fungi;p__Mortierellomycota	1103.0	2199.0	948.0	562.0	3219.0	2795.0	2666.0	2623.0	3275.0	3683.0	1670.0	1391.0
k__Fungi;p__Basidiobolomycota	0.0	2.0	2.0	0.0	5.0	24.0	0.0	9.0	0.0	0.0	4.0	0.0
k__Fungi;p__Mucoromycota	0.0	36.0	6.0	0.0	0.0	0.0	0.0	5.0	469.0	0.0	10.0	25.0
k__Fungi;p__Olpidiomycota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Fungi;p__Aphelidiomycota	108.0	166.0	30.0	24.0	10.0	14.0	13.0	30.0	71.0	34.0	86.0	37.0
k__Fungi;p__Kickxellomycota	8.0	42.0	8.0	7.0	0.0	10.0	10.0	9.0	0.0	16.0	0.0	0.0
k__Fungi;p__GS01_phy_Incertae_sedis	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
